ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length,final_state
11,1,0.07925764471292496,0.18218326568603516,-0.1410151720046997,0.012000000104308128,0.043874744325876236,0.04457606002688408,202,298,0.011999928392469883,0.00043389195343479514,0.011999989859759808,500,3
12,0,0.04888713359832764,0.1961669921875,-0.07511234283447266,0.012000000104308128,0.04288111999630928,0.04364399611949921,196,304,0.01200003270059824,0.00021447257313411683,0.012000042013823986,500,3
13,1,0.09844335168600082,0.1539325714111328,-0.18157076835632324,0.012000000104308128,0.04448075592517853,0.04542497918009758,222,278,0.011999929323792458,0.0003392982471268624,0.012000077404081821,500,3
14,0,0.047969311475753784,0.22329258918762207,-0.06834793090820312,0.012000000104308128,0.04308090731501579,0.043857455253601074,196,304,0.011999987997114658,0.0003040915762539953,0.01200003270059824,500,3
15,1,0.06305846571922302,0.28116869926452637,-0.06834304332733154,0.012000000104308128,0.041997458785772324,0.04315841943025589,184,316,0.011999786831438541,0.00045960911666043103,0.01199981477111578,500,3
16,1,0.09285172820091248,0.25777649879455566,0.16650938987731934,0.012000000104308128,0.04454144462943077,0.0455998033285141,210,290,0.011999969370663166,0.00014755738084204495,0.0120000671595335,500,3
17,0,0.01262484211474657,0.15326905250549316,-0.16978788375854492,0.012000000104308128,0.052060503512620926,0.05333186686038971,354,146,0.011999969370663166,0.00019706180319190025,0.012000039219856262,500,3
18,0,0.012000035494565964,0.12362480163574219,-0.0969010591506958,0.012000000104308128,0.04898330941796303,0.049196917563676834,318,182,0.011999901384115219,0.0002041274419752881,0.012000031769275665,500,3
19,0,0.012000035494565964,0.17497706413269043,0.10888040065765381,0.012000000104308128,0.047307685017585754,0.04816810041666031,272,228,0.012000014074146748,0.0002041855186689645,0.012000033631920815,500,3
20,0,0.012000036425888538,0.12008047103881836,-0.05256009101867676,0.012000000104308128,0.04757668450474739,0.04759456589818001,294,206,0.01199992187321186,0.00020409899298101664,0.012000036425888538,500,3
21,0,0.012000038288533688,0.18953359127044678,0.08832526206970215,0.012000000104308128,0.04623766988515854,0.047174420207738876,240,260,0.01199993584305048,0.00019630225142464042,0.012000038288533688,500,3
22,0,0.012000036425888538,0.17283833026885986,-0.030564308166503906,0.012000000104308128,0.04512559622526169,0.04554866626858711,218,282,0.011999929323792458,0.0001995988131966442,0.012000036425888538,500,3
23,0,0.012000037357211113,0.2951472997665405,0.01063382625579834,0.012000000104308128,0.04338426515460014,0.04658648371696472,174,326,0.011999998241662979,0.00019836978754028678,0.012000037357211113,500,3
24,0,0.012000038288533688,0.15684497356414795,0.08582353591918945,0.012000000104308128,0.04737965762615204,0.047834962606430054,268,232,0.011999997310340405,0.00019630225142464042,0.012000038288533688,500,3
25,0,0.012000035494565964,0.10306048393249512,-0.037621498107910156,0.012000000104308128,0.04838145896792412,0.04838357865810394,314,186,0.012000001966953278,0.00019634724594652653,0.012000034563243389,500,3
26,0,0.016157502308487892,0.29536163806915283,-0.1659764051437378,0.012000000104308128,0.030382338911294937,nan,-1,0,nan,nan,nan,500,0
27,0,0.012000036425888538,0.228052020072937,0.06049919128417969,0.012000000104308128,0.04381489381194115,0.045396603643894196,196,304,0.01200001873075962,0.0001995988131966442,0.012000036425888538,500,3
28,0,0.012000038288533688,0.1700359582901001,-0.18383574485778809,0.012000000104308128,0.0531187541782856,0.05471920222043991,358,142,0.011999918147921562,0.00019630225142464042,0.012000038288533688,500,3
29,0,0.012274293228983879,0.27138376235961914,0.1905527114868164,0.012000000104308128,0.028874948620796204,0.028874948620796204,464,36,0.012274293228983879,0.06634010374546051,0.012274293228983879,500,3
30,0,0.012000035494565964,0.18785953521728516,0.1879512071609497,0.012000000104308128,0.05404351279139519,0.05592161417007446,350,150,0.011999904178082943,0.0002041274419752881,0.012000031769275665,500,3
31,0,0.012000035494565964,0.21926093101501465,0.08688652515411377,0.012000000104308128,0.04494669660925865,0.04645442217588425,220,280,0.01199993398040533,0.0002041855186689645,0.012000033631920815,500,3
32,0,0.01200003270059824,0.2354724407196045,-0.057801008224487305,0.012000000104308128,0.043057139962911606,0.044812750071287155,192,308,0.011999904178082943,0.00020095202489756048,0.012000028975307941,500,3
33,0,0.012518903240561485,0.24727940559387207,-0.1401996612548828,0.012000000104308128,0.050542786717414856,0.05288829281926155,262,238,0.01199999451637268,0.00019587755377870053,0.012000034563243389,500,3
34,1,0.09197478741407394,0.24120807647705078,0.03643190860748291,0.012000000104308128,0.047302234917879105,0.0475396104156971,268,232,0.01199993398040533,0.00032744219060987234,0.012000023387372494,500,3
35,1,0.07550515234470367,0.26769542694091797,0.011974692344665527,0.012000000104308128,0.04481583833694458,0.0458667054772377,228,272,0.011999927461147308,0.00016973409219644964,0.012000040151178837,500,3
36,1,0.07566571980714798,0.16275882720947266,-0.17993497848510742,0.012000000104308128,0.04784867540001869,0.048005975782871246,310,190,0.011999908834695816,0.0004734582034870982,0.011999974958598614,500,3
37,1,0.052379049360752106,0.11308050155639648,0.04902505874633789,0.012000000104308128,0.046114157885313034,0.04678256809711456,256,244,0.01199985109269619,0.0004526373522821814,0.011999987997114658,500,3
38,1,0.09403945505619049,0.1535865068435669,0.14403307437896729,0.012000000104308128,0.0441959984600544,0.04471452534198761,212,288,0.012000017799437046,0.0002890843024943024,0.012000029906630516,500,3
39,1,0.1257438361644745,0.11919105052947998,0.1881505250930786,0.012000000104308128,0.04176655411720276,0.04391069337725639,180,320,0.011999882757663727,0.0004030902637168765,0.011999998241662979,500,3
