ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length,final_state
60,1,0.08312596380710602,0.19108796119689941,-0.17247629165649414,0.012000000104308128,0.08217008411884308,nan,-1,0,nan,nan,nan,500,1
61,0,0.018441975116729736,0.16961312294006348,-0.1501297950744629,0.012000000104308128,0.07004247605800629,nan,-1,0,nan,nan,nan,500,1
62,0,0.016589011996984482,0.24314451217651367,-0.07079589366912842,0.012000000104308128,0.0776597410440445,nan,-1,0,nan,nan,nan,500,1
63,0,0.02223362773656845,0.2257981300354004,-0.16614198684692383,0.012000000104308128,0.06455985456705093,nan,-1,0,nan,nan,nan,500,0
64,0,0.016794612631201744,0.16179823875427246,-0.10013008117675781,0.012000000104308128,0.08125459402799606,nan,-1,0,nan,nan,nan,500,1
65,0,0.013089179061353207,0.19176697731018066,-0.03780364990234375,0.012000000104308128,0.07855735719203949,nan,-1,0,nan,nan,nan,500,1
66,0,0.012000040151178837,0.27995824813842773,-0.19766676425933838,0.012000000104308128,0.07616264373064041,nan,-1,0,nan,nan,nan,500,0
67,0,0.0227902103215456,0.17843413352966309,-0.11500251293182373,0.012000000104308128,0.081809401512146,nan,-1,0,nan,nan,nan,500,1
68,0,0.021289434283971786,0.24039578437805176,-0.12755203247070312,0.012000000104308128,0.06249905750155449,nan,-1,0,nan,nan,nan,500,0
69,0,0.01821831986308098,0.16496407985687256,-0.028317928314208984,0.012000000104308128,0.07880309969186783,nan,-1,0,nan,nan,nan,500,1
70,0,0.019716598093509674,0.16975247859954834,0.16381561756134033,0.012000000104308128,0.07346472889184952,nan,-1,0,nan,nan,nan,500,1
71,1,0.1530822366476059,0.2955319881439209,-0.0643770694732666,0.012000000104308128,0.06682758033275604,nan,-1,0,nan,nan,nan,500,1
72,1,0.11185057461261749,0.26330864429473877,-0.14965319633483887,0.012000000104308128,0.06153477355837822,nan,-1,0,nan,nan,nan,500,1
73,0,0.020403563976287842,0.14736366271972656,-0.09832358360290527,0.012000000104308128,0.08265839517116547,nan,-1,0,nan,nan,nan,500,1
74,0,0.02161969617009163,0.14847862720489502,0.04741811752319336,0.012000000104308128,0.12535929679870605,nan,-1,0,nan,nan,nan,500,0
75,0,0.01812233403325081,0.1440204381942749,-0.13505125045776367,0.012000000104308128,0.07117878645658493,nan,-1,0,nan,nan,nan,500,1
76,0,0.012423156760632992,0.1760561466217041,0.015364885330200195,0.012000000104308128,0.07813438773155212,nan,-1,0,nan,nan,nan,500,1
77,0,0.021594123914837837,0.23787546157836914,-0.15840911865234375,0.012000000104308128,0.06697933375835419,nan,-1,0,nan,nan,nan,500,0
78,0,0.01941343955695629,0.23318195343017578,0.054286956787109375,0.012000000104308128,0.08592531830072403,nan,-1,0,nan,nan,nan,500,0
79,0,0.012335068546235561,0.254058837890625,-0.08273816108703613,0.012000000104308128,0.08034359663724899,nan,-1,0,nan,nan,nan,500,1
80,0,0.016366111114621162,0.23863768577575684,-0.09365439414978027,0.012000000104308128,0.0795479416847229,nan,-1,0,nan,nan,nan,500,1
81,0,0.012122143991291523,0.14215493202209473,-0.06983470916748047,0.012000000104308128,0.07858725637197495,nan,-1,0,nan,nan,nan,500,1
82,1,0.08442755788564682,0.13151097297668457,-0.15317821502685547,0.012000000104308128,0.07118729501962662,nan,-1,0,nan,nan,nan,500,0
83,0,0.013273791410028934,0.17834234237670898,-0.06152081489562988,0.012000000104308128,0.07872684299945831,nan,-1,0,nan,nan,nan,500,1
84,0,0.018168717622756958,0.15810108184814453,-0.11696004867553711,0.012000000104308128,0.0674578845500946,nan,-1,0,nan,nan,nan,500,1
85,0,0.02213703654706478,0.19613254070281982,0.10006117820739746,0.012000000104308128,0.0785408467054367,nan,-1,0,nan,nan,nan,500,1
