step,state,force_close,jpos_shoulder_pan,jpos_shoulder_lift,jpos_elbow_flex,jpos_wrist_flex,jpos_wrist_roll,jpos_gripper,jpos_left_proximal,jpos_right_proximal,jpos_left_distal,jpos_right_distal,jvel_shoulder_pan,jvel_shoulder_lift,jvel_elbow_flex,jvel_wrist_flex,jvel_wrist_roll,jvel_gripper,jvel_left_proximal,jvel_right_proximal,jvel_left_distal,jvel_right_distal,action_0,action_1,action_2,action_3,action_4,action_5,target_ee_x,target_ee_y,target_ee_z,current_ee_x,current_ee_y,current_ee_z,cube_x,cube_y,cube_z
20,APPROACH,0,0.06109539791941643,0.07675737887620926,0.08136601746082306,1.6006991863250732,0.0006349579198285937,-1.1072409655810134e-08,-2.0757490347023122e-05,0.15949535369873047,0.0010841874172911048,-0.056579601019620895,0.15929949283599854,0.0866757407784462,0.18484167754650116,0.05972839146852493,0.004349272232502699,-0.00014379792264662683,0.08872814476490021,-0.06775296479463577,-0.08887182176113129,0.0887281596660614,0.08540486544370651,0.07481744140386581,0.10259057581424713,0.03573155403137207,0.00042330528958700597,1.0,0.2104785442352295,-0.04507320746779442,0.11199992150068283,0.22803452610969543,-0.011750931851565838,0.15056154131889343,0.2104785442352295,-0.04507320746779442,0.011999920010566711
21,APPROACH,0,0.06436614692211151,0.080754853785038,0.08501461893320084,1.601861834526062,0.0006641082582063973,-1.2236395896536578e-08,-2.0908464648528025e-05,0.1600227952003479,0.0010922708315774798,-0.05314016714692116,0.16047169268131256,0.0874314159154892,0.18343909084796906,0.05815001577138901,0.004462721291929483,-0.00015521871682722121,0.09149465709924698,-0.07178989052772522,-0.09164978563785553,0.09149470925331116,0.08791296929121017,0.07771660387516022,0.10464048385620117,0.03609291836619377,0.0004427388485055417,1.0,0.2104785442352295,-0.045073218643665314,0.11199996620416641,0.22777993977069855,-0.012355775572359562,0.14949309825897217,0.2104785442352295,-0.045073218643665314,0.011999961920082569
22,APPROACH,0,0.06766081601381302,0.08476140350103378,0.0886218398809433,1.6029913425445557,0.0006931264069862664,-1.3415708544073368e-08,-2.102521830238402e-05,0.16045786440372467,0.001098338863812387,-0.04984666779637337,0.16165637969970703,0.08815723657608032,0.18202821910381317,0.0565914623439312,0.004551973659545183,-0.00016589785809628665,0.09369692951440811,-0.07520929723978043,-0.09386274963617325,0.09369692206382751,0.09044205397367477,0.08061178773641586,0.10666096210479736,0.036438070237636566,0.0004620842810254544,1.0,0.21047869324684143,-0.045073311775922775,0.11199995875358582,0.22752118110656738,-0.012963551096618176,0.14843180775642395,0.21047869324684143,-0.045073311775922775,0.011999953538179398
23,APPROACH,0,0.0709797590970993,0.08877633512020111,0.09218773245811462,1.6040880680084229,0.0007220182451419532,-1.4371569712068322e-08,-2.1110274246893823e-05,0.16081759333610535,0.001102530979551375,-0.04670584946870804,0.1628543734550476,0.08885187655687332,0.18061019480228424,0.055054135620594025,0.004622193053364754,-0.00017589105118531734,0.09545375406742096,-0.07812720537185669,-0.09562964737415314,0.09545376896858215,0.09299257397651672,0.08350154012441635,0.10865285992622375,0.036768198013305664,0.0004813455161638558,1.0,0.2104785442352295,-0.04507320374250412,0.11199995130300522,0.22725820541381836,-0.01357412338256836,0.14737749099731445,0.2104785442352295,-0.04507320374250412,0.011999952606856823
24,APPROACH,0,0.07432335615158081,0.0927988737821579,0.09571242332458496,1.6051523685455322,0.0007507879054173827,-1.5605941428020742e-08,-2.1166953956708312e-05,0.16111598908901215,0.0011049744207412004,-0.04372077435255051,0.16406749188899994,0.08951152116060257,0.17918746173381805,0.05354178324341774,0.004677304998040199,-0.0001853459980338812,0.09685847908258438,-0.08063560724258423,-0.09704384952783585,0.09685850143432617,0.09556514024734497,0.08638551086187363,0.11061535775661469,0.03708291053771973,0.0005005252896808088,1.0,0.2104785442352295,-0.045073214918375015,0.11199995130300522,0.22699099779129028,-0.014187628403306007,0.14633029699325562,0.2104785442352295,-0.045073214918375015,0.011999947018921375
25,APPROACH,0,0.07769199460744858,0.09682820737361908,0.09919596463441849,1.6061850786209106,0.0007794394041411579,-1.6747483400081364e-08,-2.1197294699959457e-05,0.1613640934228897,0.001105783972889185,-0.040891677141189575,0.16529785096645355,0.09013628214597702,0.17775669693946838,0.052051346749067307,0.004720575641840696,-0.00019424271886236966,0.09798591583967209,-0.08280900120735168,-0.09818026423454285,0.09798592329025269,0.09815999120473862,0.08926236629486084,0.11254911869764328,0.03738363832235336,0.0005196263082325459,1.0,0.21047855913639069,-0.04507321119308472,0.11199994385242462,0.2267196774482727,-0.014804043807089329,0.145290344953537,0.21047855913639069,-0.04507321119308472,0.011999940499663353
26,APPROACH,0,0.08108611404895782,0.10086353123188019,0.10263845324516296,1.6071864366531372,0.0008079748949967325,-1.7866794266296893e-08,-2.120322096743621e-05,0.16157086193561554,0.0011050727916881442,-0.03821653872728348,0.1665458232164383,0.09072339534759521,0.17632023990154266,0.05058695748448372,0.004754588473588228,-0.00020271900575608015,0.09889794141054153,-0.08470994234085083,-0.09910080581903458,0.09889796376228333,0.10077768564224243,0.09213106334209442,0.11445420235395432,0.037670694291591644,0.0005386499688029289,1.0,0.2104785293340683,-0.045073192566633224,0.11199993640184402,0.22644414007663727,-0.01542343944311142,0.14425766468048096,0.2104785293340683,-0.045073192566633224,0.011999933049082756
27,APPROACH,0,0.08450616151094437,0.10490397363901138,0.10604001581668854,1.6081570386886597,0.0008363962988369167,-1.9304380316498282e-08,-2.118832344422117e-05,0.1617434173822403,0.0011029444867745042,-0.035691842436790466,0.16781307756900787,0.09127052873373032,0.17487865686416626,0.049150221049785614,0.00478131091222167,-0.00021080822625663131,0.0996399000287056,-0.08638492971658707,-0.09985087811946869,0.099639892578125,0.10341888666152954,0.09499045461416245,0.116330586373806,0.03794471547007561,0.0005575975519604981,1.0,0.2104785442352295,-0.045073214918375015,0.11199995875358582,0.22616446018218994,-0.01604579947888851,0.14323222637176514,0.2104785442352295,-0.045073214918375015,0.01199996005743742
28,APPROACH,0,0.08795254677534103,0.10894862562417984,0.10940069705247879,1.609098196029663,0.0008647057111375034,-2.033389279176845e-08,-2.1153064153622836e-05,0.16188755631446838,0.0010994895128533244,-0.033312950283288956,0.16910123825073242,0.09177552908658981,0.1734306365251541,0.04773982614278793,0.004802471958100796,-0.00021850370103493333,0.1002507284283638,-0.0878746286034584,-0.10046949237585068,0.1002507209777832,0.10608404874801636,0.09783944487571716,0.11817841231822968,0.038206975907087326,0.0005764705128967762,1.0,0.21047866344451904,-0.04507330060005188,0.11199996620416641,0.22588060796260834,-0.01667122356593609,0.1422140896320343,0.21047866344451904,-0.04507330060005188,0.011999964714050293
29,APPROACH,0,0.09142576158046722,0.11299657076597214,0.11272057145833969,1.610010027885437,0.0008929034811444581,-2.182211922274746e-08,-2.110036621161271e-05,0.16200800240039825,0.001094801351428032,-0.031074438244104385,0.17041128873825073,0.09223601222038269,0.17197777330875397,0.046360231935977936,0.0048192511312663555,-0.0002259227039758116,0.10075929760932922,-0.08920983225107193,-0.10098553448915482,0.10075929760932922,0.1087733805179596,0.10067668557167053,0.11999821662902832,0.03845810890197754,0.000595269026234746,1.0,0.21047867834568024,-0.04507330432534218,0.11199997365474701,0.22559256851673126,-0.017299776896834373,0.14120355248451233,0.21047867834568024,-0.04507330432534218,0.01199997030198574
